               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.064768,            0.016241,            0.030272,              0.3855,             0.86646,             0.59318,             0.20551,            0.065566,           0.0089095,            0.025854,           0.0092872,           0.0092872,           0.0092872
                  38,            0.063369,            0.016549,            0.029234,             0.38207,               0.775,             0.43804,             0.11703,            0.067045,           0.0088127,            0.025071,           0.0092674,           0.0092674,           0.0092674
                  39,             0.06791,            0.018046,            0.028443,             0.50653,               0.475,              0.5876,             0.28818,            0.059176,           0.0091622,            0.023891,           0.0092476,           0.0092476,           0.0092476
                  40,              0.0606,            0.016442,            0.026479,             0.50653,               0.475,              0.5876,             0.28818,            0.059176,           0.0091622,            0.023891,           0.0092278,           0.0092278,           0.0092278
                  41,            0.053297,            0.017019,            0.026665,             0.49599,               0.825,             0.67419,              0.2825,            0.049598,           0.0095429,            0.022876,            0.009208,            0.009208,            0.009208
                  42,            0.059008,            0.016348,            0.026912,             0.42885,             0.91857,             0.65616,             0.19917,            0.067622,           0.0092669,            0.022505,           0.0091882,           0.0091882,           0.0091882
                  43,            0.070167,            0.014775,             0.02628,             0.39871,               0.825,             0.61816,             0.22053,            0.065128,             0.00934,            0.020006,           0.0091684,           0.0091684,           0.0091684
                  44,            0.059827,            0.013993,            0.023435,             0.39871,               0.825,             0.61816,             0.22053,            0.065128,             0.00934,            0.020006,           0.0091486,           0.0091486,           0.0091486
                  45,            0.055473,            0.016687,            0.023652,             0.61192,              0.9123,             0.92535,             0.54911,            0.058151,            0.009131,             0.01862,           0.0091288,           0.0091288,           0.0091288
                  46,            0.059516,              0.0154,            0.023298,             0.22702,             0.82765,             0.45772,             0.17695,            0.063367,           0.0088594,            0.017407,            0.009109,            0.009109,            0.009109
                  47,             0.06355,            0.014328,             0.02234,             0.60661,               0.875,             0.79389,             0.28988,            0.053383,           0.0092731,            0.015699,           0.0090892,           0.0090892,           0.0090892
                  48,             0.05929,            0.017413,            0.023994,             0.60661,               0.875,             0.79389,             0.28988,            0.053383,           0.0092731,            0.015699,           0.0090694,           0.0090694,           0.0090694
                  49,            0.051339,            0.016949,            0.021821,             0.72146,               0.975,             0.95176,             0.48377,            0.040985,           0.0096049,            0.014547,           0.0090496,           0.0090496,           0.0090496
                  50,            0.049403,            0.016808,            0.019523,             0.38897,                   1,             0.73956,             0.31625,            0.062662,           0.0099385,            0.014055,           0.0090298,           0.0090298,           0.0090298
                  51,            0.058824,            0.014203,            0.019684,              0.5113,                   1,             0.79377,             0.39547,            0.049744,           0.0089183,             0.01283,             0.00901,             0.00901,             0.00901
                  52,            0.057315,            0.017791,            0.018512,              0.5113,                   1,             0.79377,             0.39547,            0.049744,           0.0089183,             0.01283,           0.0089902,           0.0089902,           0.0089902
                  53,            0.055828,            0.016493,            0.018884,             0.59235,                   1,             0.80688,             0.44744,            0.043355,           0.0088425,            0.011764,           0.0089704,           0.0089704,           0.0089704
                  54,            0.058502,            0.013143,            0.017644,             0.32439,                0.95,             0.43247,              0.1304,            0.069664,           0.0093927,            0.010623,           0.0089506,           0.0089506,           0.0089506
                  55,            0.073855,            0.013792,            0.017517,             0.36287,                0.95,             0.59094,             0.20803,            0.060996,            0.008728,           0.0093412,           0.0089308,           0.0089308,           0.0089308
                  56,            0.060027,             0.01365,             0.01582,             0.36287,                0.95,             0.59094,             0.20803,            0.060996,            0.008728,           0.0093412,            0.008911,            0.008911,            0.008911
                  57,            0.050812,            0.014861,             0.01683,             0.72477,                0.95,             0.93624,             0.43234,             0.04324,           0.0084589,           0.0086881,           0.0088912,           0.0088912,           0.0088912
                  58,            0.051653,            0.012856,            0.015326,             0.34175,               0.975,             0.59857,             0.22614,            0.057182,           0.0085719,            0.008118,           0.0088714,           0.0088714,           0.0088714
                  59,              0.0569,            0.013777,             0.01426,             0.47093,             0.82075,             0.72818,             0.31962,            0.053339,           0.0076315,           0.0077883,           0.0088516,           0.0088516,           0.0088516
                  60,            0.053103,            0.014827,            0.014614,             0.47093,             0.82075,             0.72818,             0.31962,            0.053339,           0.0076315,           0.0077883,           0.0088318,           0.0088318,           0.0088318
                  61,            0.051391,            0.012244,            0.014213,             0.58457,                0.95,             0.78444,              0.4049,            0.053908,           0.0077584,           0.0079861,            0.008812,            0.008812,            0.008812
                  62,            0.053024,            0.015312,            0.015549,             0.60072,             0.83899,             0.72558,             0.33752,            0.052085,           0.0084629,            0.010889,           0.0087922,           0.0087922,           0.0087922
                  63,            0.054929,             0.01372,              0.0141,             0.52021,                 0.8,             0.63072,             0.32582,            0.046637,           0.0079875,            0.010994,           0.0087724,           0.0087724,           0.0087724
                  64,            0.049696,            0.012704,            0.013305,             0.52021,                 0.8,             0.63072,             0.32582,            0.046637,           0.0079875,            0.010994,           0.0087526,           0.0087526,           0.0087526
                  65,            0.045622,            0.012245,            0.012533,             0.53818,              0.9147,             0.75061,              0.4411,            0.038973,           0.0080857,            0.008426,           0.0087328,           0.0087328,           0.0087328
                  66,            0.049686,             0.01196,            0.013399,             0.49025,             0.93857,             0.78814,             0.34744,            0.067502,            0.008503,           0.0060061,            0.008713,            0.008713,            0.008713
                  67,            0.062216,            0.012404,            0.012248,             0.58885,                0.95,              0.7564,             0.38569,            0.044984,            0.007694,           0.0064085,           0.0086932,           0.0086932,           0.0086932
                  68,            0.050796,            0.011751,            0.011362,             0.58885,                0.95,              0.7564,             0.38569,            0.044984,            0.007694,           0.0064085,           0.0086734,           0.0086734,           0.0086734
                  69,            0.045667,            0.013673,            0.011857,             0.87381,                0.95,             0.94125,             0.55264,            0.034807,           0.0067165,           0.0079626,           0.0086536,           0.0086536,           0.0086536
                  70,            0.042816,            0.011676,            0.010921,             0.55947,               0.925,             0.86041,             0.42637,            0.038729,           0.0068898,            0.008287,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046707,            0.013135,            0.011747,             0.74407,             0.89737,             0.89938,             0.48763,            0.046787,           0.0065856,           0.0060679,            0.008614,            0.008614,            0.008614
                  72,            0.048794,            0.014325,            0.011114,             0.74407,             0.89737,             0.89938,             0.48763,            0.046787,           0.0065856,           0.0060679,           0.0085942,           0.0085942,           0.0085942
                  73,            0.042402,            0.014037,            0.012533,             0.74605,             0.99897,             0.92799,             0.67029,            0.040789,           0.0063105,           0.0053428,           0.0085744,           0.0085744,           0.0085744
                  74,            0.043212,            0.011929,            0.010147,             0.61206,               0.875,             0.91162,             0.36275,            0.046916,            0.006855,           0.0049604,           0.0085546,           0.0085546,           0.0085546
                  75,            0.050153,             0.01316,            0.010719,             0.73134,                   1,             0.96558,              0.6118,            0.040819,           0.0065258,           0.0048694,           0.0085348,           0.0085348,           0.0085348
                  76,            0.044938,            0.012911,            0.011006,             0.73134,                   1,             0.96558,              0.6118,            0.040819,           0.0065258,           0.0048694,            0.008515,            0.008515,            0.008515
                  77,            0.041097,            0.011284,            0.011718,             0.87396,                   1,             0.99174,             0.67914,            0.027879,            0.006079,           0.0047393,           0.0084952,           0.0084952,           0.0084952
                  78,            0.043816,            0.010833,            0.011488,             0.66957,                 0.9,             0.89215,             0.43838,            0.050901,           0.0070052,           0.0046529,           0.0084754,           0.0084754,           0.0084754
                  79,            0.053511,            0.012121,            0.010903,             0.62298,             0.94094,             0.77392,             0.39381,            0.050667,           0.0064874,           0.0044951,           0.0084556,           0.0084556,           0.0084556
                  80,            0.047914,            0.010926,           0.0086236,             0.62298,             0.94094,             0.77392,             0.39381,            0.050667,           0.0064874,           0.0044951,           0.0084358,           0.0084358,           0.0084358
                  81,            0.043389,            0.012683,           0.0079781,             0.74457,               0.925,             0.90498,             0.52979,            0.039407,           0.0063126,           0.0046026,            0.008416,            0.008416,            0.008416
                  82,            0.045654,            0.011784,            0.010565,             0.57491,                   1,             0.87684,              0.3539,            0.055932,            0.007257,           0.0044742,           0.0083962,           0.0083962,           0.0083962
                  83,            0.058701,            0.012663,             0.01035,             0.69724,               0.975,             0.95733,             0.60407,            0.043892,           0.0063357,           0.0046667,           0.0083764,           0.0083764,           0.0083764
                  84,            0.046093,            0.012122,            0.010682,             0.69724,               0.975,             0.95733,             0.60407,            0.043892,           0.0063357,           0.0046667,           0.0083566,           0.0083566,           0.0083566
                  85,            0.043028,            0.014396,            0.013084,             0.84737,                   1,             0.96926,              0.7251,            0.031446,           0.0062711,             0.00478,           0.0083368,           0.0083368,           0.0083368
                  86,             0.03765,            0.012649,            0.010105,             0.74867,             0.99256,             0.93208,             0.64543,             0.03425,           0.0062585,           0.0045902,            0.008317,            0.008317,            0.008317
                  87,            0.043695,             0.01179,            0.012551,             0.93655,               0.975,             0.98947,             0.69774,            0.038423,           0.0060353,           0.0044991,           0.0082972,           0.0082972,           0.0082972
                  88,            0.041623,            0.011044,           0.0095885,             0.93655,               0.975,             0.98947,             0.69774,            0.038423,           0.0060353,           0.0044991,           0.0082774,           0.0082774,           0.0082774
                  89,            0.040856,             0.01286,            0.010729,             0.95343,               0.975,             0.99381,             0.62502,            0.031337,           0.0061255,           0.0044658,           0.0082576,           0.0082576,           0.0082576
                  90,            0.042532,            0.010766,           0.0098904,             0.93565,             0.82091,             0.93615,             0.34737,            0.052079,           0.0067418,           0.0041955,           0.0082378,           0.0082378,           0.0082378
                  91,            0.048186,             0.01125,           0.0076136,             0.94898,                   1,               0.995,             0.69155,            0.031507,           0.0059888,            0.004226,            0.008218,            0.008218,            0.008218
                  92,            0.043957,           0.0098892,            0.010633,             0.94898,                   1,               0.995,             0.69155,            0.031507,           0.0059888,            0.004226,           0.0081982,           0.0081982,           0.0081982
                  93,            0.037121,             0.01222,           0.0094943,             0.97946,                   1,               0.995,             0.73041,            0.029371,           0.0057797,           0.0040979,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037872,            0.012108,            0.010028,             0.71578,             0.83063,             0.91104,             0.64865,            0.041685,           0.0061429,             0.00383,           0.0081586,           0.0081586,           0.0081586
                  95,            0.040475,            0.010962,           0.0091917,             0.83104,               0.825,             0.91731,             0.51637,            0.035483,           0.0060999,           0.0038113,           0.0081388,           0.0081388,           0.0081388
